objectId,clusterId,area,perimeter,compactness,meanB1,stdB1,meanB2,stdB2,meanB3,stdB3,meanB4,stdB4,meanB5,stdB5,meanB6,stdB6
110,1,34828,3430.3,337.86,0.0704154,0.00369508,0.0763013,0.00444132,0.0664746,0.0048921,0.0684323,0.00319375,0.353693,0.0392772,0.631632,0.0615996
111,1,84,35.6569,15.1358,0.0716842,0.00579517,0.077284,0.00485076,0.0641365,0.00367804,0.0735419,0.00482574,0.360317,0.0249743,0.691763,0.00690827
112,1,279,108.142,41.9166,0.0628029,0.000842131,0.0669296,0.000924149,0.0563588,0.000948691,0.0657582,0.00089886,0.344156,0.0313769,0.656665,0.0242922
113,1,234,124.485,66.2247,0.0684546,0.00409933,0.073372,0.00483697,0.0630186,0.0054954,0.0707826,0.00358014,0.368292,0.0307508,0.62526,0.0457246
114,1,199,79.0711,31.4183,0.0636139,0.00107403,0.0674542,0.00102518,0.0566526,0.00100967,0.0662182,0.00115171,0.320958,0.028713,0.67408,0.0545313
115,1,53,24.8284,11.6311,0.0721615,0.00114956,0.0778401,0.00127888,0.0677223,0.00121721,0.0723175,0.00139831,0.368627,0.0263453,0.649669,0.00304903
116,1,300,122.385,49.9268,0.063127,0.00106661,0.0672933,0.00105672,0.0570451,0.00105645,0.0661033,0.00108879,0.336444,0.020636,0.657635,0.0180644
117,1,205,106.485,55.3128,0.0655564,0.00276185,0.068834,0.00131151,0.0587639,0.00216072,0.0673716,0.00124256,0.351066,0.0186352,0.623896,0.0108209
118,1,151,81.4142,43.8959,0.0657583,0.00111604,0.0698894,0.00105048,0.0590441,0.00113047,0.0678571,0.00118855,0.36455,0.0362883,0.587122,0.0318932
119,1,209,73.6569,25.9585,0.0663245,0.00310792,0.071162,0.00413558,0.0610497,0.00460141,0.0670442,0.00203531,0.370072,0.018783,0.589357,0.0329704
120,1,457,181.456,72.0486,0.0655137,0.00200885,0.0703187,0.00218468,0.0597973,0.00221835,0.0660256,0.00191071,0.384357,0.0179858,0.62724,0.0351191
121,1,263,113.799,49.2403,0.0649121,0.000788666,0.0693548,0.000895726,0.059012,0.00101072,0.0662383,0.00125711,0.381182,0.0180509,0.619772,0.0195434
122,1,271,145.071,77.6591,0.0659495,0.00132201,0.070907,0.00179816,0.060641,0.00195307,0.066856,0.00243288,0.374199,0.0220838,0.638576,0.0473982
123,1,223,79.3137,28.2093,0.0678002,0.00110155,0.0725888,0.00122947,0.0610584,0.00119868,0.0693645,0.00135346,0.385879,0.0190014,0.518543,0.00851826
124,1,77,40.2426,21.0321,0.0696849,0.00176988,0.0758644,0.00201341,0.0653752,0.00187512,0.0671511,0.0033245,0.378151,0.0187852,0.646104,0.011831
125,1,161,67.0711,27.9412,0.0689556,0.00102194,0.0749138,0.00114399,0.064763,0.00144753,0.0645343,0.00388695,0.370235,0.0264081,0.689483,0.0399866
126,1,78,32.2426,13.328,0.074987,0.00072292,0.0807897,0.000985052,0.0702801,0.0015181,0.0720391,0.00120368,0.389241,0.0127837,0.659563,0.00660173
127,1,68,34.2426,17.2435,0.0826746,0.00177038,0.0865699,0.00246193,0.0744136,0.00279069,0.0830286,0.00292689,0.388466,0.0110895,0.620827,0.0035771
128,1,119,63.0711,33.4282,0.0748336,0.00374659,0.0808388,0.00391379,0.071813,0.00457388,0.0747445,0.00532614,0.390476,0.0149227,0.582898,0.100336
129,1,156,71.8995,33.1381,0.0760794,0.00372934,0.0831237,0.00482209,0.0740593,0.00601965,0.0784294,0.00402364,0.391252,0.0168898,0.538981,0.0308103
130,1,459,122.142,32.5026,0.0675203,0.00109179,0.0718746,0.00112923,0.0610992,0.00124952,0.0652608,0.00253303,0.374805,0.0295648,0.638506,0.0313556
131,1,168,87.8995,45.99,0.0723994,0.00326569,0.0767686,0.00345456,0.0659926,0.00433843,0.0706532,0.00214372,0.377824,0.021492,0.551842,0.0629775
132,1,1890,478.167,120.975,0.0682968,0.00154365,0.072151,0.00170201,0.0617797,0.00175845,0.0672207,0.00137734,0.382589,0.0251157,0.606535,0.0322195
133,1,153,51.0711,17.0474,0.0693375,0.00107952,0.0738017,0.00117415,0.0636802,0.00091851,0.0679109,0.00109046,0.388799,0.0115745,0.634252,0.0141329
134,1,104,49.6569,23.7096,0.0708477,0.00296809,0.0750341,0.00311117,0.0644604,0.00294295,0.0681193,0.00292734,0.380204,0.020582,0.564839,0.0739484
135,1,50,24.8284,12.329,0.0678404,0.00149701,0.0722763,0.00133366,0.0615821,0.00129791,0.0664114,0.0014363,0.388235,0.0131709,0.668919,0
136,1,263,130.142,64.3991,0.0685343,0.00507048,0.0727969,0.00622103,0.0630088,0.00713675,0.0690262,0.00547335,0.379348,0.0180979,0.636702,0.0443185
137,1,83,43.0711,22.3508,0.0660542,0.00102215,0.0700355,0.000989371,0.0600342,0.00110034,0.067256,0.00107767,0.380439,0.0152368,0.620482,0.0268395
138,1,96,51.6569,27.7962,0.0675577,0.00163183,0.0704805,0.00141236,0.0631197,0.00387592,0.0688313,0.0010728,0.362418,0.0282599,0.524564,0.0167539
139,1,201,86.4853,37.2125,0.0825961,0.0221084,0.086566,0.0185672,0.0685598,0.0142869,0.0798139,0.0151712,0.371983,0.0211831,0.595065,0.0709408
